y,time,total_20,male_20,female_20
3.4,2019.12,7.3,8.1,6.5
4.1,2020.01,7.5,8.2,6.8
4.1,2020.02,9,9.5,8.5
4.2,2020.03,9.7,10.7,8.7
4.2,2020.04,9.1,9.9,8.4
4.5,2020.05,10.3,11.4,9.2
4.3,2020.06,11,12.1,9.9
4,2020.07,9.7,10.5,8.8
3.1,2020.08,7.7,8.6,6.7
3.6,2020.09,8.9,10.1,7.6
3.7,2020.1,8.4,9.3,7.5
3.4,2020.11,8.2,8.7,7.7
4.1,2020.12,8.2,9,7.4
5.7,2021.01,9.3,10,8.5
4.9,2021.02,10,10.8,9.2
4.3,2021.03,10,11.5,8.5
4,2021.04,10,11.5,8.5
4,2021.05,9.3,11.1,7.7
3.8,2021.06,8.8,9.9,7.9
3.2,2021.07,7.1,8,6.2
2.6,2021.08,5.8,6.5,5.1
2.7,2021.09,5.3,6.2,4.5
2.8,2021.1,5.7,6.5,4.9
2.6,2021.11,5.5,6.2,4.8
3.5,2021.12,5.7,6,5.4
4.1,2022.01,5.7,6,5.4
3.4,2022.02,6.7,7.5,6
3,2022.03,7,7.8,6.4
3,2022.04,7.4,8.3,6.6
3,2022.05,7.3,7.8,6.9
3,2022.06,7,7,7.1
2.9,2022.07,6.6,7.5,5.8
2.1,2022.08,5.4,5.7,5.2
2.4,2022.09,6.2,6.7,5.8
2.4,2022.1,5.7,5.9,5.6
2.3,2022.11,5.9,6,5.8
3,2022.12,5.2,5.7,4.8
3.6,2023.01,5.8,5.7,5.8
3.1,2023.02,7,7.9,6.2
2.9,2023.03,7.2,8.6,6
2.8,2023.04,6.5,7.8,5.3
2.7,2023.05,5.9,6.8,5.1
2.7,2023.06,6.3,6.9,5.8
2.7,2023.07,6.1,6.7,5.4
