date,close
2023.9.7,70400
2023.9.8,70300
2023.9.11,70800
2023.9.12,70500
2023.9.13,70900
2023.9.14,71700
2023.9.15,72000
2023.9.18,70200
2023.9.19,69800
2023.9.20,69600
2023.9.21,68900
2023.9.22,68800
2023.9.25,69400
2023.9.26,68600
2023.9.27,68400
2023.10.4,67500
2023.10.5,66700
2023.10.6,66000
2023.10.10,66400
2023.10.11,68200
2023.10.12,68900
2023.10.13,68000
2023.10.16,67300
2023.10.17,69400
2023.10.18,70500
2023.10.19,69500
2023.10.20,68800
2023.10.23,68400
2023.10.24,68500
2023.10.25,68000
2023.10.26,66700
2023.10.27,67300
2023.10.30,67300
2023.10.31,66900
2023.11.1,68600
2023.11.2,69700
2023.11.3,69600
2023.11.6,70900
2023.11.7,70900
2023.11.8,69900
2023.11.9,70300
2023.11.10,70500
2023.11.13,70400
2023.11.14,70800
2023.11.15,72200
2023.11.16,72800
2023.11.17,72500
2023.11.20,72700
2023.11.21,72800
2023.11.22,72800
2023.11.23,72400
2023.11.24,71700
2023.11.27,71300
2023.11.28,72700
2023.11.29,72700
2023.11.30,72800
2023.12.1,72000
2023.12.4,72600
2023.12.5,71200
2023.12.6,71700
2023.12.7,71500
2023.12.8,72600
2023.12.11,73000
2023.12.12,73500
2023.12.13,72800
2023.12.14,73100
2023.12.15,73300
2023.12.18,72900
2023.12.19,73400
2023.12.20,74800
2023.12.21,75000
2023.12.22,75900
2023.12.26,76600
2023.12.27,78000
2023.12.28,78500
2024.1.2,79600
2024.1.3,77000
2024.1.4,76600
2024.1.5,76600
2024.1.8,76500
2024.1.9,74700
2024.1.10,73600
2024.1.11,73200
2024.1.12,73100
2024.1.15,73900
2024.1.16,72600
2024.1.17,71000
2024.1.18,71700
2024.1.19,74700
2024.1.22,75100
2024.1.23,75200
2024.1.24,74000
2024.1.25,74100
2024.1.26,73400
2024.1.29,74400
2024.1.30,74300
2024.1.31,72700
2024.2.1,73600
2024.2.2,75200
2024.2.5,74300
2024.2.6,74400
2024.2.7,75000
2024.2.8,74100
2024.2.13,75200
2024.2.14,74000
2024.2.15,73200
2024.2.16,72800
2024.2.19,73800
2024.2.20,73300
2024.2.21,73000
2024.2.22,73100
2024.2.23,72900
2024.2.26,72800
2024.2.27,72900
2024.2.28,73200
2024.2.29,73400
2024.3.4,74900
2024.3.5,73700
2024.3.6,72900
2024.3.7,72200
2024.3.8,73300
2024.3.11,72400
2024.3.12,73300
2024.3.13,74100
2024.3.14,74300
2024.3.15,72300
2024.3.18,72800
2024.3.19,72800
2024.3.20,76900
2024.3.21,79300
2024.3.22,78900
2024.3.25,78200
2024.3.26,79900
2024.3.27,79800
2024.3.28,80800
2024.3.29,82400
2024.4.1,82000
2024.4.2,85000
2024.4.3,84100
2024.4.4,85300
2024.4.5,84500
2024.4.8,84500
2024.4.9,83600
2024.4.11,84100
2024.4.12,83700
2024.4.15,82200
2024.4.16,80000
2024.4.17,78900
2024.4.18,79600
2024.4.19,77600
2024.4.22,76100
2024.4.23,75500
2024.4.24,78600
2024.4.25,76300
2024.4.26,76700
2024.4.29,76700
2024.4.30,77500
2024.5.2,78000
2024.5.3,77600
2024.5.7,81300
2024.5.8,81300
2024.5.9,79700
2024.5.10,79200
2024.5.13,78400
2024.5.14,78300
2024.5.16,78200
2024.5.17,77400
2024.5.20,78900
2024.5.21,78400
2024.5.22,77700
2024.5.23,78300
2024.5.24,75900
2024.5.27,77200
2024.5.28,77600
2024.5.29,75200
2024.5.30,73500
2024.5.31,73500
2024.6.3,75700
2024.6.4,75300
2024.6.5,77400
2024.6.7,77300
2024.6.10,75700
2024.6.11,75200
2024.6.12,76500
2024.6.13,78600
2024.6.14,79600
2024.6.17,78100
2024.6.18,79800
2024.6.19,81200
2024.6.20,81600
2024.6.21,80000
2024.6.24,80600
2024.6.25,80800
2024.6.26,81300
2024.6.27,81600
2024.6.28,81500
2024.7.1,81800
2024.7.2,81800
2024.7.3,81800
2024.7.4,84600
2024.7.5,87100
2024.7.8,87400
2024.7.9,87800
2024.7.10,87800
2024.7.11,87600
2024.7.12,84400
2024.7.15,86700
2024.7.16,87700
2024.7.17,86700
2024.7.18,86900
2024.7.19,84400
2024.7.22,83000
2024.7.23,83900
2024.7.24,82000
2024.7.25,80400
2024.7.26,80900
2024.7.29,81200
2024.7.30,81000
